Match ID,Runs,Mins,Ball Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Ground,Start Date,Match_Format,Opposition,Result
T20I # 282 ,78,61,61,8,2,127.86,3,not out,2,Colombo (RPS),30-Sep-12,T20I,Pakistan,Win
T20I # 286 ,2,5,6,0,0,33.33,3,caught,1,Colombo (RPS),02-Oct-12,T20I,South Africa,Win
Test #2058 ,19,70,67,3,0,28.35,5,bowled,1,Ahmedabad,15-Nov-12,Test,England,Win
Test #2058 ,14,17,21,3,0,66.66,3,not out,4,Ahmedabad,15-Nov-12,Test,England,Win
Test #2062 ,19,65,55,3,0,34.54,5,caught,1,Wankhede,23-Nov-12,Test,England,Lost
Test #2062 ,7,16,13,1,0,53.84,5,caught,3,Wankhede,23-Nov-12,Test,England,Lost
Test #2065 ,6,31,24,1,0,25,5,caught,1,Eden Gardens,05-Dec-12,Test,England,Lost
Test #2065 ,20,86,60,3,0,33.33,5,caught,3,Eden Gardens,05-Dec-12,Test,England,Lost
Test #2066 ,103,356,295,11,0,34.91,5,lbw,2,Nagpur,13-Dec-12,Test,England,Drawn Match
T20I # 292 ,21,35,17,2,0,123.52,3,bowled,2,Pune,20-Dec-12,T20I,England,Win
T20I # 294 ,38,25,20,7,0,190,3,lbw,1,Wankhede,22-Dec-12,T20I,England,Lost
T20I # 296 ,9,15,11,1,0,81.81,3,caught,1,Bengaluru,25-Dec-12,T20I,Pakistan,Lost
T20I # 298 ,27,31,22,3,0,122.72,3,run out,1,Ahmedabad,28-Dec-12,T20I,Pakistan,Win
ODI # 3314,0,9,5,0,0,0,3,bowled,1,Chennai,30-Dec-12,ODI,Pakistan,Lost
ODI # 3315 ,6,12,9,1,0,66.66,3,caught,2,Eden Gardens,03-Jan-13,ODI,Pakistan,Lost
ODI # 3316 ,7,25,17,1,0,41.17,3,caught,1,Delhi,06-Jan-13,ODI,Pakistan,Win
ODI # 3318 ,15,45,22,1,0,68.18,3,caught,2,Rajkot,11-Jan-13,ODI,England,Lost
ODI # 3320 ,37,86,54,1,1,68.51,3,caught,1,Kochi,15-Jan-13,ODI,England,Win
ODI # 3322,77,110,79,9,2,97.46,3,not out,2,Ranchi,19-Jan-13,ODI,England,Win
 ODI # 3327 ,26,44,33,3,0,78.78,3,caught,2,Mohali,23-Jan-13,ODI,England,Win
ODI # 3329 ,0,1,1,0,0,0,3,caught,1,Dharamsala,27-Jan-13,ODI,England,Lost
Test #2074 ,107,266,206,15,1,51.94,5,caught,2,Chennai,22-Feb-13,Test,Australia,Win
Test #2074 ,,0,0,0,0,0,0,Did Not Bat,0,Chennai,22-Feb-13,Test,Australia,Win
Test #2076 ,34,119,92,3,0,36.95,5,caught,2,Hyderabad,02-Mar-13,Test,Australia,Win
Test #2081 ,67,157,129,7,1,51.93,5,not out,2,Mohali,14-Mar-13,Test,Australia,Win
Test #2081 ,34,80,61,6,0,55.73,3,caught,4,Mohali,14-Mar-13,Test,Australia,Win
Test #2085 ,1,11,8,0,0,12.5,3,lbw,2,Delhi,22-Mar-13,Test,Australia,Win
Test #2085 ,41,76,60,4,0,68.33,3,lbw,4,Delhi,22-Mar-13,Test,Australia,Win
ODI # 3363,31,46,41,2,0,75.6,3,caught,1,Cardiff,06-Jun-13,ODI,South Africa,Win
 ODI # 3368,22,18,18,4,0,122.22,3,bowled,2,The Oval,11-Jun-13,ODI,West Indies,Win
 ODI # 3372,22,36,27,3,0,81.48,3,not out,2,Birmingham,15-Jun-13,ODI,Pakistan,Win
 ODI # 3376,58,80,64,4,1,90.62,3,not out,2,Cardiff,20-Jun-13,ODI,Sri Lanka,Win
 ODI # 3377,43,66,34,4,1,126.47,3,caught,1,Birmingham,23-Jun-13,ODI,England,Win
 ODI # 3380,11,19,21,0,1,52.38,3,caught,1,Kingston,30-Jun-13,ODI,West Indies,Lost
 ODI # 3382,2,6,5,0,0,40,4,caught,2,Kingston,02-Jul-13,ODI,Sri Lanka,Lost
 ODI # 3383,102,120,83,13,2,122.89,3,caught,1,Port of Spain,05-Jul-13,ODI,West Indies,Win
 ODI # 3387,31,62,52,4,0,59.61,3,lbw,1,Port of Spain,09-Jul-13,ODI,Sri Lanka,Win
 ODI # 3388,2,8,5,0,0,40,3,caught,2,Port of Spain,11-Jul-13,ODI,Sri Lanka,Win
 ODI # 3395,115,133,108,13,1,106.48,3,caught,2,Harare,24-Jul-13,ODI,Zimbabwe,Win
 ODI # 3397,14,35,18,2,0,77.77,3,caught,1,Harare,26-Jul-13,ODI,Zimbabwe,Win
 ODI # 3399,68,128,88,5,1,77.27,3,not out,2,Harare,28-Jul-13,ODI,Zimbabwe,Win
 ODI # 3402 ,,0,0,0,0,0,0,Did Not Bat,0,Bulawayo,01-Aug-13,ODI,Zimbabwe,Win
ODI # 3403 ,,0,0,0,0,0,0,Did Not Bat,0,Bulawayo,03-Aug-13,ODI,Zimbabwe,Win
T20I # 331 ,29,26,22,2,1,131.81,4,caught,2,Rajkot,10-Oct-13,T20I,Australia,Win
ODI # 3419,61,121,85,6,0,71.76,3,lbw,2,Pune,13-Oct-13,ODI,Australia,Lost
 ODI # 3420 ,100,82,52,8,7,192.3,3,not out,2,Jaipur,16-Oct-13,ODI,Australia,Win
ODI # 3421,68,121,73,9,0,93.15,3,caught,1,Mohali,19-Oct-13,ODI,Australia,Lost
 ODI # 3422 ,,0,0,0,0,0,0,Did Not Bat,0,Ranchi,23-Oct-13,ODI,Australia,No_Result
ODI # 3424,115,104,66,18,1,174.24,3,not out,2,Nagpur,30-Oct-13,ODI,Australia,Win
 ODI # 3428 ,0,4,3,0,0,0,3,run out,1,Bengaluru,02-Nov-13,ODI,Australia,Win
Test # 2101,3,13,5,0,0,60,5,caught,2,Eden Gardens,06-Nov-13,Test,West Indies,Win
 Test # 2102 ,57,80,78,5,0,73.07,5,caught,2,Wankhede,14-Nov-13,Test,West Indies,Win
ODI # 3436 ,86,120,84,9,2,102.38,3,caught,2,Kochi,21-Nov-13,ODI,West Indies,Win
ODI # 3437 ,99,159,100,9,0,99,3,caught,1,Visakhapatnam,24-Nov-13,ODI,West Indies,Lost
ODI # 3439 ,19,19,18,3,0,105.55,3,caught,2,Kanpur,27-Nov-13,ODI,West Indies,Win
ODI # 3442 ,31,41,35,5,0,88.57,3,caught,2,Johannesburg,05-Dec-13,ODI,South Africa,Lost
ODI # 3443 ,0,7,5,0,0,0,3,caught,2,Durban,08-Dec-13,ODI,South Africa,Lost
ODI # 3444 ,,0,0,0,0,0,0,Team Did Not Bat,0,Centurion,11-Dec-13,ODI,South Africa,No_Result
Test #2108 ,119,257,181,18,0,65.74,4,caught,1,Johannesburg,18-Dec-13,Test,South Africa,Drawn Match
Test #2108 ,96,254,193,9,0,49.74,4,caught,3,Johannesburg,18-Dec-13,Test,South Africa,Drawn Match
Test #2111 ,46,114,87,5,0,52.87,4,caught,1,Durban,26-Dec-13,Test,South Africa,Lost
Test # 2111,11,26,27,1,0,40.74,4,caught,3,Durban,26-Dec-13,Test,South Africa,Lost
ODI # 3456 ,123,179,111,11,2,110.81,3,caught,2,Napier,19-Jan-14,ODI,New Zealand,Lost
ODI # 3458 ,78,88,65,7,2,120,3,caught,2,Hamilton,22-Jan-14,ODI,New Zealand,Lost
ODI # 3462 ,6,27,20,1,0,30,3,caught,2,Auckland,25-Jan-14,ODI,New Zealand,Tied Match
ODI # 3465 ,2,14,10,0,0,20,2,caught,1,Hamilton,28-Jan-14,ODI,New Zealand,Lost
ODI # 3467 ,82,129,78,7,3,105.12,3,caught,2,Wellington,31-Jan-14,ODI,New Zealand,Lost
Test # 2118 ,4,17,13,1,0,30.76,4,caught,2,Auckland,06-Feb-14,Test,New Zealand,Lost
Test #2118 ,67,131,102,12,0,65.68,4,caught,4,Auckland,06-Feb-14,Test,New Zealand,Lost
Test #2120 ,38,131,93,4,0,40.86,5,caught,2,Wellington,14-Feb-14,Test,New Zealand,Drawn Match
Test #2120 ,105,195,135,15,1,77.77,4,not out,4,Wellington,14-Feb-14,Test,New Zealand,Drawn Match
ODI # 3474,136,157,122,16,2,111.47,3,bowled,2,Fatullah,26-Feb-14,ODI,Bangladesh,Win
 ODI # 3476,48,66,51,4,1,94.11,3,bowled,1,Fatullah,28-Feb-14,ODI,Sri Lanka,Lost
 ODI # 3479,5,29,11,0,0,45.45,3,caught,1,Mirpur,02-Mar-14,ODI,Pakistan,Lost
 ODI # 3483,,0,0,0,0,0,0,Did Not Bat,0,Mirpur,05-Mar-14,ODI,Afghanistan,Win
 T20I # 378 ,36,45,32,4,1,112.5,3,not out,2,Mirpur,21-Mar-14,T20I,Pakistan,Win
T20I # 382 ,54,51,41,5,1,131.7,3,bowled,2,Mirpur,23-Mar-14,T20I,West Indies,Win
T20I # 389 ,57,66,50,3,1,114,3,not out,2,Mirpur,28-Mar-14,T20I,Bangladesh,Win
T20I # 393 ,23,23,22,2,1,104.54,3,caught,1,Mirpur,30-Mar-14,T20I,Australia,Win
T20I # 399,72,67,44,5,2,163.63,3,not out,2,Mirpur,04-Apr-14,T20I,South Africa,Win
 T20I # 400,77,75,58,5,4,132.75,3,run out,1,Mirpur,06-Apr-14,T20I,Sri Lanka,Lost
