Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,11,8,0,0,12.5,3,lbw,2,Test v Australia,Delhi,22-Mar-13
41,76,60,4,0,68.33,3,lbw,4,Test v Australia,Delhi,22-Mar-13
31,46,41,2,0,75.6,3,caught,1,ODI v South Africa,Cardiff,06-Jun-13
22,18,18,4,0,122.22,3,bowled,2,ODI v West Indies,The Oval,11-Jun-13
22*,36,27,3,0,81.48,3,not out,2,ODI v Pakistan,Birmingham,15-Jun-13
58*,80,64,4,1,90.62,3,not out,2,ODI v Sri Lanka,Cardiff,20-Jun-13
43,66,34,4,1,126.47,3,caught,1,ODI v England,Birmingham,23-Jun-13
11,19,21,0,1,52.38,3,caught,1,ODI v West Indies,Kingston,30-Jun-13
2,6,5,0,0,40,4,caught,2,ODI v Sri Lanka,Kingston,02-Jul-13
102,120,83,13,2,122.89,3,caught,1,ODI v West Indies,Port of Spain,05-Jul-13
31,62,52,4,0,59.61,3,lbw,1,ODI v Sri Lanka,Port of Spain,09-Jul-13
2,8,5,0,0,40,3,caught,2,ODI v Sri Lanka,Port of Spain,11-Jul-13
115,133,108,13,1,106.48,3,caught,2,ODI v Zimbabwe,Harare,24-Jul-13
14,35,18,2,0,77.77,3,caught,1,ODI v Zimbabwe,Harare,26-Jul-13
68*,128,88,5,1,77.27,3,not out,2,ODI v Zimbabwe,Harare,28-Jul-13
DNB,-,-,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,01-Aug-13
DNB,-,-,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,03-Aug-13
29,26,22,2,1,131.81,4,caught,2,T20I v Australia,Rajkot,10-Oct-13
61,121,85,6,0,71.76,3,lbw,2,ODI v Australia,Pune,13-Oct-13
100*,82,52,8,7,192.3,3,not out,2,ODI v Australia,Jaipur,16-Oct-13
68,121,73,9,0,93.15,3,caught,1,ODI v Australia,Mohali,19-Oct-13
DNB,-,-,-,-,-,-,-,2,ODI v Australia,Ranchi,23-Oct-13
115*,104,66,18,1,174.24,3,not out,2,ODI v Australia,Nagpur,30-Oct-13
0,4,3,0,0,0,3,run out,1,ODI v Australia,Bengaluru,02-Nov-13
3,13,5,0,0,60,5,caught,2,Test v West Indies,Eden Gardens,06-Nov-13
57,80,78,5,0,73.07,5,caught,2,Test v West Indies,Wankhede,14-Nov-13
86,120,84,9,2,102.38,3,caught,2,ODI v West Indies,Kochi,21-Nov-13
99,159,100,9,0,99,3,caught,1,ODI v West Indies,Visakhapatnam,24-Nov-13
19,19,18,3,0,105.55,3,caught,2,ODI v West Indies,Kanpur,27-Nov-13
31,41,35,5,0,88.57,3,caught,2,ODI v South Africa,Johannesburg,05-Dec-13
0,7,5,0,0,0,3,caught,2,ODI v South Africa,Durban,08-Dec-13
TDNB,-,-,-,-,-,-,-,-,ODI v South Africa,Centurion,11-Dec-13
119,257,181,18,0,65.74,4,caught,1,Test v South Africa,Johannesburg,18-Dec-13
96,254,193,9,0,49.74,4,caught,3,Test v South Africa,Johannesburg,18-Dec-13
46,114,87,5,0,52.87,4,caught,1,Test v South Africa,Durban,26-Dec-13
11,26,27,1,0,40.74,4,caught,3,Test v South Africa,Durban,26-Dec-13
123,179,111,11,2,110.81,3,caught,2,ODI v New Zealand,Napier,19-Jan-14
78,88,65,7,2,120,3,caught,2,ODI v New Zealand,Hamilton,22-Jan-14
6,27,20,1,0,30,3,caught,2,ODI v New Zealand,Auckland,25-Jan-14
2,14,10,0,0,20,2,caught,1,ODI v New Zealand,Hamilton,28-Jan-14
82,129,78,7,3,105.12,3,caught,2,ODI v New Zealand,Wellington,31-Jan-14
4,17,13,1,0,30.76,4,caught,2,Test v New Zealand,Auckland,06-Feb-14
67,131,102,12,0,65.68,4,caught,4,Test v New Zealand,Auckland,06-Feb-14
38,131,93,4,0,40.86,5,caught,2,Test v New Zealand,Wellington,14-Feb-14
105*,195,135,15,1,77.77,4,not out,4,Test v New Zealand,Wellington,14-Feb-14
136,157,122,16,2,111.47,3,bowled,2,ODI v Bangladesh,Fatullah,26-Feb-14
48,66,51,4,1,94.11,3,bowled,1,ODI v Sri Lanka,Fatullah,28-Feb-14
5,29,11,0,0,45.45,3,caught,1,ODI v Pakistan,Mirpur,02-Mar-14
DNB,-,-,-,-,-,-,-,2,ODI v Afghanistan,Mirpur,05-Mar-14
36*,45,32,4,1,112.5,3,not out,2,T20I v Pakistan,Mirpur,21-Mar-14
54,51,41,5,1,131.7,3,bowled,2,T20I v West Indies,Mirpur,23-Mar-14
57*,66,50,3,1,114,3,not out,2,T20I v Bangladesh,Mirpur,28-Mar-14
23,23,22,2,1,104.54,3,caught,1,T20I v Australia,Mirpur,30-Mar-14
72*,67,44,5,2,163.63,3,not out,2,T20I v South Africa,Mirpur,04-Apr-14
77,75,58,5,4,132.75,3,run out,1,T20I v Sri Lanka,Mirpur,06-Apr-14
1,6,8,0,0,12.5,4,caught,1,Test v England,Nottingham,09-Jul-14
8,39,29,1,0,27.58,4,lbw,3,Test v England,Nottingham,09-Jul-14
25,39,34,4,0,73.52,4,caught,1,Test v England,Lord's,17-Jul-14
